date,INFY_sentiment
2024-02-15,-0.9491559397429228
2024-02-16,0.827382568269968
2024-02-19,0.8199422806501389
2024-02-20,-0.9651616169139743
2024-02-21,-0.9651031503453851
2024-02-23,-0.9653531606309116
2024-02-26,-0.9651514450088143
2024-02-27,-0.9643235597759485
2024-03-06,-0.9643235597759485
2024-03-18,0.13940748199820518
2024-03-19,0.5168004836887121
2024-03-20,0.08877924891809623
2024-03-22,0.04827191587537527
2024-03-30,-0.9486212162300944
2024-04-01,0.032261429354548454
2024-04-18,0.2431364804506302
2024-04-19,0.44708762504160404
2024-04-22,-0.42426744289696217
2024-04-25,0.7200556471943855
2024-04-29,0.7901445254683495
2024-05-03,0.6214247643947601
2024-05-10,0.006440646946430206
2024-05-17,-0.9579600254073739
2024-06-18,-0.9325059065595269
2024-06-21,0.0058299582451581955
