date,MACRO_sentiment
2021-03-10,0.012178950011730194
2021-03-18,-0.4384329617023468
2021-03-20,0.03454658668488264
2021-03-21,-0.16254597157239914
2021-03-23,-0.11907656490802765
2021-03-24,-0.8645394016057253
2021-03-25,-0.24536609277129173
2021-03-26,0.17817619815468788
2021-03-31,-0.03227166831493378
2021-04-01,0.21875320188701153
2021-04-04,-0.18129537906497717
2021-04-05,-0.569530539214611
2021-04-06,-0.07138074189424515
2021-04-07,-0.1083263773471117
2021-04-08,-0.16746595613658427
2021-04-09,0.045067246071994305
2021-04-12,0.23983745835721493
2021-04-13,-0.08039367198944092
2021-04-19,0.27480968460440636
2021-04-23,-0.49077694956213236
2021-04-28,-0.19059612229466438
2021-05-01,-0.08738087117671967
2021-05-10,-0.5258843079209328
2021-05-13,0.16217978950589895
