date,headline,source,sentiment
2020-08-12 07:00:00+00:00,Understanding the Impact of GSP Withdrawal on India’s Top Exports to the US,orfonline.org,-0.16626903414726257
2020-08-27 07:00:00+00:00,Coronavirus pain: Exorbitant interest rates hurt India’s farmers,Al Jazeera,-0.9039122462272644
2020-11-27 08:00:00+00:00,"India’s GDP fell by 7.5% in July-September, economy in technical recession for first time ever",Scroll.in,-0.9678066801279783
2020-07-20 07:00:00+00:00,ExplainSpeaking: How high real interest rates are holding back investments in Indian economy,The Indian Express,-0.6473274528980255
2020-12-06 08:00:00+00:00,"The Hindu Explains | What is inflation, and what is the RBI’s role in tackling it?",The Hindu,-0.0361029002815485
2020-10-05 07:00:00+00:00,India’s Central Bank to Resume Rate Meeting With New Panel,Bloomberg.com,0.0003296881914138794
2020-11-26 08:00:00+00:00,Short-term rates crash in India with funds overflowing with cash,Mint,-0.9542991137132049
2020-10-07 07:00:00+00:00,RBI’s MPC panel likely to hold rates,The Times of India,-0.05890272185206413
2020-08-06 07:00:00+00:00,RBI keeps interest rates on hold,The Times of India,-0.03142964839935303
2020-08-05 07:00:00+00:00,These banks are offering lowest interest rates on personal loans,Mint,-0.04444326460361481
2020-09-30 07:00:00+00:00,Chart Of The Day: Bank FD Rates From 1976,Capitalmind,-0.10269267857074738
2020-12-21 08:00:00+00:00,India’s gold market in November: Indian retail demand continued to improve with Dhanteras and wedding sales,World Gold Council,0.9356936477124691
2020-12-23 08:00:00+00:00,"Union Bank, Bank of India and Bank of Baroda offer the lowest rates on educations loans",Moneycontrol,-0.3447131644934416
2020-11-04 08:00:00+00:00,High home loan demand triggers interest rate war,The Times of India,-0.5749026611447334
2020-08-31 07:00:00+00:00,GDP growth at -23.9% in Q1; first contraction in more than 40 years,The Economic Times,-0.8595162257552147
2020-08-28 07:00:00+00:00,Home loans that come with the lowest interest rate,Moneycontrol,-0.4728958774358034
2020-08-09 07:00:00+00:00,The repo rate cut cycles help PSBs shore up capital,Mint,0.9110912848263979
2020-11-03 08:00:00+00:00,"Top banks offer festive home loan bonanza, check interest rates",India Today,0.05175717920064926
2020-10-04 07:00:00+00:00,Modi’s Key Reforms Stall as Pandemic Upends India’s Economy,Bloomberg.com,-0.7707575932145119
2020-11-24 08:00:00+00:00,India Rate-Setter Sees High Inflation Throttling Policy Space,Bloomberg.com,-0.8852312602102757
2020-10-12 07:00:00+00:00,"Reserve Bank of India revises Monetary Policy Committee, Repo Rate remains Unchanged",LawStreet Journal,-0.07736262679100037
2020-10-17 07:00:00+00:00,HDFC Bank reduces fixed deposit rates: Things to know,The Times of India,0.02847878448665142
2020-08-31 07:00:00+00:00,RBI announces steps to ease pressure on liquidity: All you need to know,India TV News,0.07243046537041664
2020-12-15 08:00:00+00:00,Punjab & Sind Bank and Central Bank of India offer car loans at 7.1 %,Moneycontrol,0.029072376899421215
2020-11-12 08:00:00+00:00,Moody's raises India's 2020 GDP forecast to -8.9% as Covid cases drop,Business Standard,0.7683525308966637
2020-07-12 07:00:00+00:00,Covid-19 helped achieve what RBI policy could not,Mint,0.6981739290058613
2020-12-23 08:00:00+00:00,Dynamics between Interest Rate and Real Estate Investment Trusts (REITs),Colliers,-0.025411318987607956
2020-12-07 08:00:00+00:00,"Kotak Mahindra, Punjab National Bank offer the lowest rates on home loans",Moneycontrol,-0.33599910140037537
2020-12-10 08:00:00+00:00,Bulletin – December 2020 Global Economy Economic Developments in India,Reserve Bank of Australia,-0.01844262331724167
2020-08-19 07:00:00+00:00,India's corp bond market is finally drawing interest,Mint,0.689062237739563
2020-12-03 08:00:00+00:00,India’s new record-low solar power tariff demonstrates investor confidence despite the pandemic,Institute for Energy Economics and Financial Analysis (IEEFA),0.9267217256128788
2020-08-07 07:00:00+00:00,Monetary Policy Report: RBI,Drishti IAS,-0.02394566312432289
2020-08-03 07:00:00+00:00,Union Bank cuts home loan interest rate to 6.7%,The Times of India,-0.6508222073316574
2020-07-02 07:00:00+00:00,Big News for SBI Customers! Home loan gets cheaper as bank cuts lending rates. Check revised interest rates,India TV News,0.016090966761112213
2020-10-23 07:00:00+00:00,Future rate cuts possible if inflation evolves as per expectations: RBI Governor Shaktikanta Das,India Today,0.009237408638000488
2020-07-01 07:00:00+00:00,"PPF, NSC and other post office schemes interest rates remain unchanged",The Economic Times,0.0030255094170570374
2020-07-24 07:00:00+00:00,Here are fixed deposits that pay up to 8% interest to senior citizens,Moneycontrol,0.0013874154537916183
2020-10-14 07:00:00+00:00,What Is Stagflation? Is It Coming For India?,Goodreturns,-0.09385596960783005
2020-10-09 07:00:00+00:00,RBI relief for Covid-19 pain,Fortune India,0.11912277899682522
2020-10-29 07:00:00+00:00,High food prices at heart of India’s inflation problem,Mint,-0.5649047642946243
2020-09-02 07:00:00+00:00,RBI looks to tame inflation with a stronger rupee,Mint,0.8292826879769564
2020-10-31 07:00:00+00:00,Union Bank of India cuts home loan rates by 10 bps,BusinessLine,-0.793037835508585
2020-12-01 08:00:00+00:00,"LVB customers can continue to avail all banking services, interest rates: DBS Bank India",The Statesman,0.024882757104933262
2020-08-10 07:00:00+00:00,Union Bank of India reduces MCLR! Check full details of new interest rates,Zee Business,-0.007966544479131699
2020-07-01 07:00:00+00:00,Home loan rates of public sector banks turn attractive,Mint,-0.8740303311496973
2020-08-24 07:00:00+00:00,India’s inflation targeting raises tough questions,Mint,-0.21278547495603561
2020-07-27 07:00:00+00:00,Indian Bank cuts interest rate on agricultural jewel loans,The Times of India,-0.8556187972426414
