date,HDFCBANK_sentiment
2022-09-14,0.17194052878767252
2022-09-15,0.004731571301817894
2022-09-17,0.8746786769479513
2022-09-24,-0.044456224888563156
2022-10-04,-0.03948301821947098
2022-10-05,0.1358120758086443
2022-10-14,0.7685615341179073
2022-10-15,-0.2910848632454872
2022-10-16,0.4852757081389427
2022-10-17,-0.002643907442688942
2022-10-20,0.2008536010980606
2022-11-21,0.5658602127805352
2022-11-22,0.6791331470012665
2022-11-25,0.7052433658391237
2022-11-29,0.044944968074560165
2022-12-06,0.3943238593637943
2022-12-13,0.4670219528488815
2022-12-14,0.14167361101135612
2022-12-22,0.25658103497698903
2023-01-19,-0.8514392860233784
2023-02-24,0.02279000449925661
2023-03-17,0.4458620995283127
2023-03-18,0.40852589439600706
2023-04-24,0.14324863348156214
2023-04-26,0.25223943684250116
