Date,Adj Close,Close,High,Low,Open,Volume,Net Sales/Income from operations,Total Income From Operations,Depreciation,Interest,P/L Before Tax,Net Profit/(Loss) For the Period,Equity Share Capital,Basic EPS,QuarterDate,P/EPS
2021-06-04,993.2412109375,1010.9154052734376,1022.8912963867188,1008.031005859375,1022.1298217773438,14468646,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,48.40356778447856
2021-06-07,1009.9727172851562,1027.9447021484375,1034.6826171875,1008.3771362304688,1016.22265625,16336573,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.218943337483246
2021-06-08,1004.1688232421876,1022.0375366210938,1027.829345703125,1014.4458618164062,1027.5755615234375,9674735,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,48.93610249718263
2021-06-09,986.2130126953124,1003.7621459960938,1024.9910888671875,995.8935546875,1024.068115234375,11409161,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,48.06106299684758
2021-06-10,989.8404541015624,1007.4541625976562,1029.1446533203125,1004.93896484375,1012.2537231445312,14155653,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,48.23783889383832
2021-06-11,1007.0098266601562,1021.3683471679688,1028.2216796875,1006.1157836914062,1007.4080200195312,13762778,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.07455295614797
2021-06-14,1021.4564208984376,1036.02099609375,1042.1820068359375,1013.0151977539062,1022.22216796875,20332436,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.778578016493064
2021-06-15,1023.777099609375,1038.3746337890625,1049.865966796875,1033.8980712890625,1043.451171875,15174215,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.89167152092471
2021-06-16,1006.3045654296876,1020.6530151367188,1037.01318359375,1017.9993896484375,1036.02099609375,10797349,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.040183500472104
2021-06-17,1008.1473388671876,1022.5220947265624,1031.4521484375,1006.0234985351562,1015.2996215820312,15745975,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.129987274229414
2021-06-18,1012.6974487304688,1027.1370849609375,1031.4521484375,1008.0771484375,1027.06787109375,29369026,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.35172752097801
2021-06-21,1017.9756469726562,1032.490478515625,1037.2208251953125,1015.368896484375,1016.9149169921875,12186448,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.608949657536854
2021-06-22,1012.7429809570312,1027.1832275390625,1043.451171875,1024.2296142578125,1040.2205810546875,12871913,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,49.35394644040113
2021-06-23,1003.4607543945312,1017.7686767578124,1038.6514892578125,1016.0841674804688,1038.3746337890625,16653951,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,48.90159621805708
2021-06-24,979.868408203125,993.8399047851562,1022.0375366210938,987.6096801757812,1018.4609375,91461975,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,47.751871744791664
2021-06-25,957.550048828125,971.2033081054688,993.8399047851562,960.4273071289062,993.8399047851562,55355022,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,46.664232399031434
2021-06-28,949.1550903320312,962.6886596679688,981.37939453125,960.3811645507812,979.3026733398438,20277042,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,46.2551213612101
2021-06-29,949.9740600585938,963.5193481445312,973.3031616210938,961.8118286132812,964.3038940429688,27144063,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,46.29503216659813
2021-06-30,960.37109375,974.0646362304688,979.6026000976562,965.0192260742188,967.4190063476562,19762858,"1,49,575","1,49,575","6,973","4,044","16,368","14,981","6,445",20.52,2021-03-31,46.80171022173489
2021-07-01,954.592529296875,968.20361328125,979.8333740234375,966.8421630859375,977.4566650390625,12534407,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.34770724139636
2021-07-02,968.7433471679688,982.5562133789062,984.3330078125,965.8960571289062,967.76513671875,14086620,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.09405839493506
2021-07-05,978.3668212890624,992.3169555664062,993.8629760742188,983.6868896484375,985.9713134765625,11702287,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.60162559541468
2021-07-06,966.8095092773438,980.5948486328124,991.7169799804688,978.4719848632812,989.8941040039062,10070124,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.992062725598295
2021-07-07,960.09814453125,973.7877197265624,981.956298828125,968.2266845703125,981.956298828125,10454892,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.638087791732595
2021-07-08,952.1581420898438,965.7345581054688,976.9721069335938,960.3811645507812,976.9721069335938,11185460,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.21931129165842
2021-07-09,942.4208984375,955.8584594726562,965.3192138671875,953.5048217773438,963.6116333007812,9037675,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.705743588475734
2021-07-12,948.2905883789062,961.8118286132812,969.8419189453125,957.3814086914062,959.8042602539062,8585292,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.01532639129252
2021-07-13,955.3887329101562,969.01123046875,970.5572509765625,963.6347045898438,969.149658203125,6717133,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.38970110285634
2021-07-14,949.1550903320312,962.6886596679688,972.3109130859375,960.4965209960938,969.3111572265625,8532544,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.06092248586663
2021-07-15,947.4943237304688,961.0042114257812,966.8421630859375,959.2274169921875,966.8421630859375,9448356,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.97332931067873
2021-07-16,961.1674194335938,974.8722534179688,975.956787109375,963.4270629882812,963.4962768554688,8828185,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.69448414734144
2021-07-19,955.0474853515624,968.6651000976562,980.2256469726562,965.5730590820312,969.149658203125,8354449,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.37170281390097
2021-07-20,952.7041015625,966.288330078125,972.8416748046875,961.7656860351562,968.9188842773438,6741464,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.248106622494724
2021-07-22,964.9439697265624,978.7026977539062,980.1795043945312,968.2958984375,977.9181518554688,7972397,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.89366928937565
2021-07-23,958.1188354492188,971.7802124023438,985.04833984375,970.095703125,985.04833984375,9937030,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.53369385280689
2021-07-26,944.99169921875,958.4659423828124,978.8411254882812,955.8123168945312,972.8416748046875,12389668,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.84133434698048
2021-07-27,935.0496826171876,948.3821411132812,961.627197265625,942.3826904296875,958.44287109375,10824523,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.316966382763056
2021-07-28,927.0187377929688,940.2366943359376,949.7666625976562,930.4990234375,949.7666625976562,12897848,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,48.89339334351101
2021-07-29,934.25341796875,947.5745239257812,957.3352661132812,943.0287475585938,947.920654296875,13765738,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.27496930214926
2021-07-30,926.0859375,939.2906494140624,954.3585815429688,937.352294921875,949.7666625976562,11350608,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,48.844195015822784
2021-08-02,943.012451171875,956.4584350585938,959.6427612304688,941.9904174804688,948.0591430664062,10925104,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.736943627208596
2021-08-03,949.9512939453124,963.4962768554688,964.9961547851562,952.6279907226562,964.53466796875,11817299,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.1029163473266
2021-08-04,957.2316284179688,970.8803100585938,975.6106567382812,963.150146484375,966.5652465820312,13169800,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.48690023301523
2021-08-05,971.1094360351562,984.9560546875,994.4398193359375,971.1110229492188,975.7490844726562,21252078,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.218852111558874
2021-08-06,950.5429077148438,964.0962524414062,990.8170776367188,959.3427734375,982.9715576171875,16620987,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.13411960521328
2021-08-09,945.128173828125,958.6043701171876,964.4423828125,953.6893920898438,960.3811645507812,7494143,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,49.848532374901104
2021-08-10,950.0877685546876,963.6347045898438,975.149169921875,957.0352783203125,960.8426513671875,11919198,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.110114375247235
2021-08-11,963.3970336914062,977.1336059570312,978.379638671875,961.48876953125,967.7420654296875,9184963,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.81207983604463
2021-08-12,960.3029174804688,973.9954223632812,981.240966796875,971.4571533203125,980.6409912109375,8137612,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,50.64888805276734
2021-08-13,976.2965087890624,990.2171020507812,992.1785278320312,973.2800903320312,977.1336059570312,12780901,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.4924318981573
2021-08-16,988.9686279296876,1003.0698852539062,1016.6841430664062,982.140869140625,991.9246826171875,21935444,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,52.160792612325295
2021-08-17,984.7598266601562,998.801025390625,1008.4694213867188,991.232421875,1000.9239501953125,12658169,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.93880942300402
2021-08-18,988.5819091796876,1002.6776123046876,1009.2078247070312,993.424560546875,1003.3006591796875,10075860,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,52.14039605378099
2021-08-20,977.4796142578124,991.4170532226562,1002.3776245117188,986.2251586914062,988.994140625,9426282,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.55483197562302
2021-08-23,983.895263671875,997.9241943359376,1003.3006591796875,984.0560913085938,1003.3006591796875,9854395,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,51.893210109276104
2021-08-24,993.60986328125,1007.7772216796876,1011.607666015625,994.8090209960938,999.1702270507812,11864472,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,52.40558350639504
2021-08-25,1002.20947265625,1016.49951171875,1024.5296630859375,1006.1157836914062,1008.561767578125,13380559,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,52.85914940170095
2021-08-26,1014.8815307617188,1029.352294921875,1036.02099609375,1017.6071166992188,1018.9916381835938,18589616,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,53.527506896715124
2021-08-27,1013.4937744140624,1027.9447021484375,1035.02880859375,1022.7067260742188,1032.3751220703125,10480636,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,53.454312996522276
2021-08-30,1032.9910888671875,1047.719970703125,1050.304443359375,1032.2828369140625,1038.3746337890625,14027062,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,54.48265236641284
2021-08-31,1027.4854736328125,1042.1358642578125,1053.9501953125,1034.7979736328125,1050.7889404296875,26485463,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,54.192271816076605
2021-09-01,1031.5576171875,1046.2662353515625,1058.1729736328125,1044.3741455078125,1048.9891357421875,11145486,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,54.40704732001582
2021-09-02,1043.9796142578125,1058.865234375,1065.04931640625,1040.68212890625,1040.68212890625,9956770,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,55.06221594186775
2021-09-03,1086.7962646484375,1102.2923583984375,1105.2921142578125,1062.6033935546875,1066.0645751953125,30664428,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,57.320478093272015
2021-09-06,1103.67724609375,1119.4140625,1144.5196533203125,1113.1375732421875,1113.59912109375,33641710,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,58.21082521591508
2021-09-07,1110.638916015625,1126.4749755859375,1134.3665771484375,1113.1375732421875,1121.444580078125,17349882,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,58.57800189955828
2021-09-08,1106.29345703125,1122.067626953125,1132.5206298828125,1110.6685791015625,1131.59765625,14301651,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,58.34881102485495
2021-09-09,1103.67724609375,1119.4140625,1125.0673828125,1115.02978515625,1120.4754638671875,8963249,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,58.21082521591508
2021-09-13,1079.0838623046875,1094.469970703125,1122.8291015625,1092.854736328125,1122.8291015625,16311160,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,56.91370581775778
2021-09-14,1077.6732177734375,1093.039306640625,1104.83056640625,1091.9085693359375,1096.0621337890625,8908356,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,56.83930473488594
2021-09-15,1082.1551513671875,1097.5850830078125,1105.63818359375,1093.0623779296875,1093.0623779296875,9071075,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,57.075693637509886
2021-09-16,1104.8602294921875,1120.6138916015625,1124.5596923828125,1092.3701171875,1099.0849609375,13448882,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,58.273218855073175
2021-09-17,1087.72900390625,1103.2384033203125,1133.3743896484375,1096.3389892578125,1128.82861328125,34882133,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,57.369673201806435
2021-09-20,1089.4580078125,1104.9921875,1116.068115234375,1093.754638671875,1094.7237548828125,11779819,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,57.46086539095464
2021-09-21,1094.16748046875,1109.7686767578125,1115.260498046875,1100.215576171875,1109.9071044921875,9915736,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,57.7092552989847
2021-09-22,1105.9068603515625,1121.6754150390625,1126.9825439453125,1106.7919921875,1111.2916259765625,10995912,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,58.32842090461827
2021-09-23,1132.9344482421875,1149.0885009765625,1152.3651123046875,1128.597900390625,1129.4747314453125,15748397,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,59.75392659505208
2021-09-24,1129.6583251953125,1145.765625,1156.2647705078125,1140.82763671875,1155.387939453125,15192163,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,59.581135295111416
2021-09-27,1148.655029296875,1165.033203125,1167.5484619140625,1142.3505859375,1147.7501220703125,15373834,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,60.58307116544699
2021-09-28,1159.3934326171875,1175.9246826171875,1183.700927734375,1159.65673828125,1169.4405517578125,18035258,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,61.14944264858583
2021-09-29,1150.2022705078125,1166.6024169921875,1186.0545654296875,1163.002685546875,1186.0545654296875,9719875,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,60.66467671454707
2021-09-30,1146.2889404296875,1162.6334228515625,1169.717529296875,1153.9111328125,1165.287109375,13590654,"1,39,949","1,39,949","6,883","3,397","17,307","13,843","6,550",18.96,2021-06-30,60.458277448823175
2021-10-01,1148.3138427734375,1164.6871337890625,1172.1173095703125,1151.442138671875,1154.6495361328125,8958928,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.99587369604586
2021-10-04,1163.0791015625,1179.662841796875,1188.2928466796875,1170.84814453125,1178.2091064453125,10918552,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,55.70302210548372
2021-10-05,1187.21728515625,1204.1453857421875,1205.4376220703125,1175.6015625,1179.17822265625,13533634,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,56.859065381046456
2021-10-06,1164.7625732421875,1181.370361328125,1209.1064453125,1177.332275390625,1209.1064453125,10258881,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,55.783648143782926
2021-10-07,1170.4730224609375,1187.1622314453125,1199.32275390625,1184.9931640625,1197.592041015625,6336665,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,56.05713709104107
2021-10-08,1215.4510498046875,1232.781494140625,1238.8502197265625,1191.36181640625,1193.0924072265625,15772493,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,58.211257174554
2021-10-11,1206.987548828125,1224.197509765625,1255.279541015625,1220.82861328125,1246.6956787109375,14768666,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,57.80591708946959
2021-10-12,1213.881103515625,1231.189208984375,1238.2041015625,1218.9364013671875,1220.6671142578125,6682011,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,58.136068176035685
2021-10-13,1226.234619140625,1243.718994140625,1255.048828125,1231.8814697265625,1236.3580322265625,9959762,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,58.72771164466595
2021-10-14,1228.7144775390625,1246.234130859375,1254.102783203125,1240.142333984375,1246.2110595703125,8623469,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,58.846478809342074
2021-10-18,1231.99072265625,1249.5570068359375,1266.8170166015625,1228.6510009765625,1231.5584716796875,13594479,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,59.003387100395116
2021-10-19,1243.0245361328125,1260.748291015625,1269.74755859375,1249.7415771484375,1257.033203125,8833409,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,59.531826443142364
2021-10-20,1228.7144775390625,1246.234130859375,1265.7786865234375,1242.1268310546875,1265.7786865234375,12710570,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,58.846478809342074
2021-10-21,1193.26904296875,1210.2833251953125,1258.9715576171875,1201.3763427734375,1258.6947021484375,20831669,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,57.14890052532328
2021-10-22,1195.49853515625,1212.544677734375,1229.8509521484375,1205.206787109375,1209.1295166015625,11027475,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,57.255676971084775
2021-10-25,1183.85009765625,1200.730224609375,1236.819580078125,1186.0545654296875,1236.819580078125,17198417,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,56.69780161188937
2021-10-26,1210.8096923828125,1228.0740966796875,1231.6968994140625,1201.353271484375,1207.791259765625,9750178,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,57.988969941705584
2021-10-27,1195.49853515625,1212.544677734375,1235.3427734375,1209.1064453125,1223.8975830078125,9896298,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,57.255676971084775
2021-10-28,1182.39404296875,1199.25341796875,1217.4134521484375,1195.515380859375,1209.1295166015625,9886181,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,56.62806719198994
2021-10-29,1154.0242919921875,1170.47900390625,1198.122802734375,1154.5341796875,1198.122802734375,14233025,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,55.269362643304
2021-11-01,1154.729736328125,1171.1943359375,1179.5936279296875,1151.0267333984375,1170.47900390625,15481114,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,55.30314829157687
2021-11-02,1137.89404296875,1154.1187744140625,1175.901611328125,1151.5574951171875,1174.51708984375,10569130,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.4968411383501
2021-11-03,1130.0679931640625,1146.1810302734375,1162.9796142578125,1135.7510986328125,1156.5416259765625,11989430,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.12203032394935
2021-11-04,1137.0067138671875,1153.2188720703125,1156.010986328125,1149.1346435546875,1150.4959716796875,1705656,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.45434453386913
2021-11-08,1138.41748046875,1154.6495361328125,1162.9796142578125,1133.628173828125,1162.70263671875,20337183,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.52190998413554
2021-11-09,1147.4039306640625,1163.76416015625,1167.0869140625,1147.773193359375,1156.05712890625,15682497,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.952295529888055
2021-11-10,1160.235107421875,1176.7784423828125,1180.5166015625,1155.43408203125,1161.4566650390625,10253470,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,55.566815489553406
2021-11-11,1162.35107421875,1178.9244384765625,1186.2852783203125,1170.1558837890625,1172.232666015625,10722478,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,55.66815489553401
2021-11-12,1179.8917236328125,1196.7152099609375,1199.32275390625,1180.0550537109375,1182.7779541015625,8712341,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,56.50822431191631
2021-11-15,1172.929931640625,1189.654296875,1200.9149169921875,1186.0545654296875,1199.8995361328125,4803269,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,56.17480515520235
2021-11-16,1145.6748046875,1162.010498046875,1188.362060546875,1151.442138671875,1187.0006103515625,11337581,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.86948298311782
2021-11-17,1121.149658203125,1137.1356201171875,1153.2650146484375,1135.7510986328125,1153.2650146484375,10202029,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,53.69490700206538
2021-11-18,1125.381103515625,1141.427490234375,1148.673095703125,1130.6976318359375,1135.28955078125,8505625,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,53.89756242890925
2021-11-22,1075.5347900390625,1090.8702392578125,1130.213134765625,1084.986083984375,1124.259765625,24124307,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.51028687926545
2021-11-23,1085.5904541015625,1101.0693359375,1108.176513671875,1065.6031494140625,1076.7021484375,25326999,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.991879985707016
2021-11-24,1069.9154052734375,1085.1707763671875,1112.16845703125,1081.5479736328125,1098.36962890625,16820296,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.24115925639069
2021-11-25,1134.3221435546875,1150.4959716796875,1154.672607421875,1087.8243408203125,1095.13916015625,42401936,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.325773158749406
2021-11-26,1097.7620849609375,1113.41455078125,1143.4119873046875,1108.2918701171875,1138.8892822265625,15763138,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,52.57481249812919
2021-11-29,1110.911865234375,1126.7518310546875,1153.7496337890625,1107.1842041015625,1125.644287109375,24325354,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,53.20459124685704
2021-11-30,1094.48583984375,1110.0916748046875,1142.62744140625,1102.453857421875,1138.9815673828125,32172299,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,52.417904207076155
2021-12-01,1122.5147705078125,1138.5201416015625,1141.7506103515625,1119.1832275390625,1122.8291015625,10104610,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,53.76028594386075
2021-12-02,1129.7265625,1145.8348388671875,1151.995849609375,1136.0279541015625,1139.76611328125,12720411,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,54.10567828065135
2021-12-03,1095.78271484375,1111.406982421875,1153.057373046875,1107.599609375,1153.01123046875,19222481,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,52.48001507872366
2021-12-06,1075.0113525390625,1090.3394775390625,1119.1370849609375,1087.8243408203125,1114.983642578125,10332254,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.48521803348001
2021-12-07,1083.7703857421875,1099.223388671875,1109.445556640625,1089.1396484375,1096.5928955078125,11235122,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.904711960832735
2021-12-08,1100.2645263671875,1115.9527587890625,1122.2752685546875,1110.507080078125,1118.7218017578125,8744178,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,52.69466122448216
2021-12-09,1117.7142333984375,1133.6512451171875,1142.1658935546875,1119.1370849609375,1123.7520751953125,13213547,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,53.53037516276042
2021-12-10,1118.851806640625,1134.8050537109375,1138.05859375,1121.6060791015625,1126.1749267578125,8364414,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,53.584856639876676
2021-12-13,1096.419677734375,1112.0531005859375,1141.7967529296875,1109.445556640625,1141.5198974609375,12901733,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,52.510520964289995
2021-12-14,1082.996826171875,1098.4388427734375,1110.36865234375,1095.32373046875,1098.36962890625,12991523,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.867664088691335
2021-12-15,1079.8345947265625,1095.2314453125,1109.9071044921875,1089.647216796875,1100.215576171875,9366969,"1,67,611","1,67,611","7,230","3,819","19,195","15,440","6,551",20.88,2021-09-30,51.716216222536524
